cuisines,latitude,longitude,item
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D36 Egg Fried Rice
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D37 Fried Milk Bun
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D38 Crispy Sweet Potato
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D39 Homestyle Fried Dough
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D40 Homestyle Soy Bean Soup
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D41 Corn Cake
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D42 Baked Bread
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S01 Seafood with Tofu Soup
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S02 West Lake Beef Soup
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S03 Chicken and Corn Soup
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S04 Crab Meat and Chicken Soup
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S05 Spinach and Clear Noodle Meat Ball Soup
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S06 Cabbage Tofu Meat Ball Soup
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S07 White Gourd Meat Ball Soup
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S08 Hot and Sour Soup
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S09 Seafood Hot and Sour Soup
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S10 Wonton Soup
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S11 House Special Vegetable Soup
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,S12 Egg Drop Soup
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C01 2 lb Iron Pot Stewed Fish
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C02 Iron Pot Stewed Duck
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C03 Stewed Mushroom with Chicken
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C04 Stewed Lamb Bone with White Gourd
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C05 Homemade Stewed Vegetable with Pork
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C06 Stwed Pork and Clear Noodle in Brown Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C07 Stewed Beef Beef Tendons Potato with Spicy Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C08 Home Style Stewed Meat and Veggies
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C09 Stewed Pork with Sour Cabbage
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C10 Stewed Sour Cabbage and Lamb with Bone
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C11 Stewed Mushroom with Chicken
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C12 Stir Fried Cumin Flavor Lamb
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C13 Stir Fried Lamb with Onion
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C14 Stir Fried Lamb with Basil
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C15 Stir Fried Cumin Flavor Lamb with Bone
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C16 Home Style Cumin Flavor Lamb Kidney
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C17 Stir Fried Cumin Flavor Beef
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C18 Stir Fried Beef with Onion
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C19 Flavored Spicy Hand Tear Beef
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C20 Boiled Beef with Chili Pepper Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C21 Sauteed Beef in Chili Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C22 Braised Beef Tendons with Brown Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C23 Stir Fried Beef Tendons with Red Chili
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C24 Beef Sirloin with Chef39s Special Spicy Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C25 Stewed Oxtail in Red Wine
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C26 Stewed Beef with Potato
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C27 Stewed Beef with Basil
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C28 Mongolian Beef
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C29 Stewed Beef with Mushroom
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C30 Stir Fried Beef with Broccoli
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C31 Stir Fried Beef with Cashew Nuts
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C32 Orange Beef
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C33 Stir Fried Beef with Pepper
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C34 Chop Suey with Beef
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C35 Egg Foo Young with Beef
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C36 Stir Fried Sweet and Sour Pork
