category,unigram,count
cajun,piece,8
cajun,salad,8
cajun,catfish,7
cajun,cheesecake,7
cajun,curry,7
cajun,tea,7
cajun,slice,6
cajun,-,5
cajun,fish,5
cajun,milk,5
cajun,salmon,5
cajun,set,5
cajun,turkey,5
cajun,white,5
cajun,alfredo,4
cajun,beans,4
cajun,bowl,4
cajun,dark,4
cajun,po'boy,4
cajun,seafood,4
cajun,spaghetti,4
cajun,beer,3
cajun,big,3
cajun,bread,3
cajun,butter,3
cajun,caesar,3
cajun,cake,3
cajun,chef,3
cajun,corn,3
cajun,crawfish,3
cajun,fries,3
cajun,garlic,3
cajun,gourmet,3
cajun,gumbo,3
cajun,jerk,3
cajun,lobster,3
cajun,masala,3
cajun,pepper,3
cajun,platter,3
asianfusion,roll,108
asianfusion,fried,68
asianfusion,chicken,63
asianfusion,rice,59
asianfusion,beef,58
asianfusion,soup,48
asianfusion,pork,47
asianfusion,shrimp,45
asianfusion,noodle,41
asianfusion,sauce,36
asianfusion,vegetable,31
asianfusion,spicy,30
asianfusion,fish,27
asianfusion,egg,26
asianfusion,pepper,23
asianfusion,style,23
asianfusion,tofu,19
asianfusion,salmon,18
asianfusion,tuna,18
asianfusion,chinese,17
asianfusion,mushroom,17
asianfusion,roll,,17
asianfusion,seafood,17
asianfusion,crab,16
asianfusion,tea,16
asianfusion,house,15
asianfusion,bean,14
asianfusion,handmade,14
asianfusion,salted,14
asianfusion,stir,14
asianfusion,tempura,14
asianfusion,traditional,14
asianfusion,black,13
asianfusion,bbq,12
asianfusion,dumplings,12
asianfusion,fillet,12
asianfusion,mein,12
asianfusion,shredded,12
asianfusion,combination,11
asianfusion,sweet,11
asianfusion,chili,10
asianfusion,fresh,10
asianfusion,mixed,10
asianfusion,sour,10
asianfusion,sushi,10
asianfusion,wonton,10
asianfusion,eel,9
asianfusion,hong,9
asianfusion,udon,9
asianfusion,braised,8
pizza,pizza,131
pizza,chicken,87
pizza,cheese,48
pizza,salad,45
pizza,sandwich,43
pizza,italian,38
pizza,tray,34
