category,word,count
breakfast_brunch,Beef,16
breakfast_brunch,Butter,16
vietnamese,Smoothie,264
vietnamese,Milkshake,160
vietnamese,Pork,136
vietnamese,Chicken,128
vietnamese,Beef,120
vietnamese,Grilled,96
vietnamese,Shrimp,96
vietnamese,Banh,88
vietnamese,Pad,88
vietnamese,Juice,80
vietnamese,Mi,80
vietnamese,Bowl,72
vietnamese,Curry,72
vietnamese,Egg,72
vietnamese,Lemongrass,72
vietnamese,Mango,72
vietnamese,Roll,64
vietnamese,and,57
vietnamese,Coffee,56
vietnamese,Seafood,56
delis,Sandwich,144
delis,Fries,96
delis,Sub,88
delis,Chicken,80
delis,Salad,56
delis,Beef,48
delis,Italian,48
delis,Burger,40
delis,Cheese,40
delis,Bread,32
delis,Breaded,32
delis,Cheeseburger,32
delis,Chili,32
delis,Sausage,32
delis,Cajun,24
delis,Shrimp,24
delis,Tenders,24
delis,The,24
delis,Turkey,24
delis,on,24
taiwanese,Tea,392
taiwanese,Milk,192
taiwanese,Rice,160
taiwanese,Pork,152
taiwanese,Noodle,120
taiwanese,Braised,104
taiwanese,Chicken,96
taiwanese,Soup,96
taiwanese,Box,80
taiwanese,with,72
taiwanese,Beef,64
taiwanese,Black,64
taiwanese,Fried,64
taiwanese,Green,64
taiwanese,Mousse,64
taiwanese,Egg,56
taiwanese,Matcha,56
taiwanese,Oolong,56
taiwanese,over,56
taiwanese,Crispy,48
shavedice,Tea,392
shavedice,Milk,192
shavedice,Rice,160
shavedice,Pork,152
shavedice,Noodle,120
shavedice,Braised,104
shavedice,Chicken,96
shavedice,Soup,96
shavedice,Box,80
shavedice,with,72
shavedice,Beef,64
shavedice,Black,64
shavedice,Fried,64
shavedice,Green,64
shavedice,Mousse,64
shavedice,Egg,56
shavedice,Matcha,56
shavedice,Oolong,56
shavedice,over,56
shavedice,Crispy,48
panasian,Freeze,600
panasian,Tea,512
panasian,Fruit,400
panasian,Fresh,376
panasian,Rice,360
panasian,Green,344
panasian,Milk,312
panasian,Chicken,256
panasian,Shrimp,240
panasian,Fried,216
panasian,Beef,208
panasian,Flavored,200
panasian,Lychee,192
panasian,Black,184
panasian,Tapioca,168
panasian,Soup,160
panasian,Thai,160
panasian,Mango,152
panasian,Pork,144
panasian,Coconut,120
burgers,Burger,328
burgers,Combo,272
burgers,The,240
burgers,Slider,208
burgers,Sandwich,176
burgers,Cheese,168
burgers,Fries,168
burgers,Chicken,160
burgers,Sub,88
burgers,Original,64
burgers,Stick,64
burgers,Wings,64
burgers,Beef,56
burgers,Breakfast,56
burgers,Potato,56
burgers,Salad,56
burgers,Chili,48
burgers,Italian,48
burgers,on,48
burgers,with,45
mexican,Taco,440
mexican,Burrito,352
mexican,Dinner,288
mexican,de,144
mexican,Torta,128
mexican,De,120
mexican,Side,120
mexican,Chicken,112
mexican,Vegetarian,112
mexican,Steak,104
mexican,con,104
mexican,Huevos,96
mexican,Tostada,96
mexican,Chips,88
mexican,Mexican,88
mexican,Quesadilla,88
mexican,Avocado,80
mexican,Beef,80
mexican,Con,80
mexican,Carne,72
thai,Pad,304
thai,Curry,160
thai,Fried,144
thai,Rice,136
thai,Thai,112
thai,Salad,88
thai,Gaeng,80
thai,Soup,72
thai,Chicken,64
thai,Pla,64
thai,Prik,64
thai,Rolls,64
thai,Plate,56
thai,Sauce,56
thai,Yum,56
thai,Egg,48
thai,Lard,48
thai,Ped,48
thai,Crab,40
thai,Dook,40
venues,Pizza,256
venues,Chicken,112
venues,Italian,104
venues,Large,104
venues,Sicilian,64
venues,Small,64
venues,Pizzarella,56
venues,Beef,48
venues,Cheese,48
venues,Special,48
venues,Loverz,40
venues,Margherita,40
venues,Meat,40
venues,Salad,40
venues,Super,40
venues,Veggie,40
venues,BBQ,32
venues,Connie's,32
venues,Giardinara,32
venues,Parmesan,32
bars,Pizza,152
bars,Chicken,112
bars,Cheese,104
bars,Salad,96
bars,Sandwich,96
bars,Crust,88
bars,Homemade,80
bars,Thin,80
bars,Deep,72
bars,Dish,72
bars,Special,72
bars,Grilled,56
bars,Kid's,56
bars,Burger,48
bars,Sausage,48
bars,Ravioli,40
bars,Side,40
bars,and,39
bars,Breakfast,32
bars,Fries,32
hotdogs,Slider,208
hotdogs,Cheese,120
hotdogs,Combo,96
hotdogs,Chicken,80
hotdogs,Original,64
hotdogs,Breakfast,56
hotdogs,Fries,40
hotdogs,Case®,32
hotdogs,Crave,32
hotdogs,French,32
hotdogs,Small,32
hotdogs,Toast,32
hotdogs,and,27
hotdogs,Egg,24
hotdogs,Fish,24
hotdogs,One,24
hotdogs,Rings,24
hotdogs,Stick,24
hotdogs,The,24
hotdogs,Two,24
tradamerican,Sandwich,216
tradamerican,Salad,176
tradamerican,Chicken,168
tradamerican,Omelet,120
tradamerican,Cheese,112
tradamerican,Beef,96
tradamerican,Skillet,96
tradamerican,Bacon,88
tradamerican,French,80
tradamerican,Pancakes,72
tradamerican,Steak,72
tradamerican,and,69
tradamerican,Crepes,64
tradamerican,Hot,64
tradamerican,Turkey,64
tradamerican,Breast,56
tradamerican,Ham,56
tradamerican,Toast,56
tradamerican,Burger,48
tradamerican,Onion,48
newamerican,Kid's,56
newamerican,Grilled,48
newamerican,Salad,40
newamerican,Breakfast,32
newamerican,Fries,32
newamerican,Sandwich,32
newamerican,Burger,24
newamerican,Cheese,24
newamerican,Avocado,16
newamerican,Baked,16
newamerican,Beef,16
newamerican,Butter,16
newamerican,Cauliflower,16
newamerican,Chicken,16
newamerican,Empanadas,16
newamerican,Ground,16
newamerican,Kale,16
newamerican,Mac,16
newamerican,Nachos,16
newamerican,Peanut,16
japanese,Roll,424
japanese,Sashimi,208
japanese,Sushi,208
japanese,Tuna,144
japanese,Spicy,112
japanese,White,96
japanese,Tempura,80
japanese,Hamachi,64
japanese,Maki,56
japanese,Dragon,48
japanese,Nama,48
japanese,Salad,48
japanese,Soup,48
japanese,Avo,40
japanese,Creamy,40
japanese,Don,40
japanese,Scallop,40
japanese,Asparagus,32
japanese,Ebi,32
japanese,Fresh,32
sushi,Roll,424
sushi,Sashimi,208
sushi,Sushi,208
sushi,Tuna,144
sushi,Spicy,112
sushi,White,96
sushi,Tempura,80
sushi,Hamachi,64
sushi,Maki,56
sushi,Dragon,48
sushi,Nama,48
sushi,Salad,48
sushi,Soup,48
sushi,Avo,40
sushi,Creamy,40
sushi,Don,40
sushi,Scallop,40
sushi,Asparagus,32
sushi,Ebi,32
sushi,Fresh,32
divebars,Sandwich,56
divebars,Filberts,40
divebars,Chicken,32
divebars,Platter,24
divebars,The,24
divebars,Beans,16
divebars,Beer,16
divebars,Bread,16
divebars,Brisket,16
divebars,Cheese,16
divebars,Garlic,16
divebars,Green,16
divebars,Hot,16
divebars,Jumbo,16
divebars,Pork,16
divebars,Ribs,16
divebars,Salad,16
divebars,Smoked,16
divebars,Wings,16
divebars,BLT,8
foodstands,Pad,88
foodstands,Curry,72
foodstands,Thai,56
foodstands,Chicken,48
foodstands,Plate,48
foodstands,Rice,48
foodstands,Fried,40
foodstands,Basil,24
foodstands,Crab,24
foodstands,Ginger,24
foodstands,Panang,24
foodstands,Spicy,24
foodstands,Vegetable,24
foodstands,Beef,16
foodstands,Cashew,16
foodstands,Egg,16
foodstands,Ewe,16
foodstands,Green,16
foodstands,Iced,16
foodstands,Leaves,16
